	GPD_id	Source	GPD_VC	Size	Predicted_phage_taxon	Host_range_isolates	Host_range_taxon	Metagenomic_runs_detected	Continents_detected	Countries_detected	checkV_MIUViG	checkV_completion	checkV_viral_region	checkV_host_region	checkV_prophage	checkV_termini	Novel
28552	uvig_108719	Metagenome	36860	34542	Siphoviridae	GCA_003461165,GCA_003462205,21673_4#22,13414_6#76	Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruminococcus_D/Ruminococcus_D bicirculans,Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruminococcus_D/Ruminococcus_D bicirculans,Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruminococcus_D/Ruminococcus_D bicirculans,Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruminococcus_D/Ruminococcus_D bicirculans	ERR526047	Europe	Denmark	High-quality	98.69	1-34542	-1	No	No	Yes
28608	uvig_108924	Metagenome	8643	16029	Podoviridae	GCA_003471415,GCA_003458965,18391_1#7	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	ERR526051	Europe	Denmark	Genome-fragment	-1.0	1-16029	-1	No	No	Yes
28628	uvig_108992	Metagenome	2315	15457	Podoviridae	15841_8#83,18048_1#40	Firmicutes/Bacilli/Erysipelotrichales/Erysipelotrichaceae/Eubacterium_D/Eubacterium_D innocuum,Firmicutes/Bacilli/Erysipelotrichales/Erysipelotrichaceae/Eubacterium_D/Eubacterium_D innocuum	ERR525792	Europe	Denmark	Genome-fragment	-1.0	1-15457	-1	No	No	Yes
28645	uvig_109046	Metagenome	1139	23154	Siphoviridae	GCA_003435675,GCA_003460955	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans	ERR525767	Europe	Denmark	Genome-fragment	56.31	1-23154	-1	No	No	No
28657	uvig_109105	Metagenome	1156	42857	Siphoviridae	GCF_000300955,GCF_000195655	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Klebsiella/Klebsiella pneumoniae,Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Klebsiella/Klebsiella pneumoniae	ERR526018,ERR526019	Europe,Europe	Denmark,Denmark	High-quality	91.92	1-41621	41622-42857	Yes	No	No
28676	uvig_109174	Metagenome	3541	37272	Siphoviridae	GCA_003465885	Firmicutes/Bacilli/Lactobacillales/Streptococcaceae/Streptococcus/Streptococcus salivarius_C	ERR526002,ERR525938	Europe,Europe	Denmark,Denmark	High-quality	98.71	1-37272	-1	No	No	No
28722	uvig_109293	Metagenome	6589	14815	Siphoviridae	GCA_003468555,GCF_000156635,GCA_003436185,GCF_001025155	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum	ERR525751,ERR525749	Europe,Europe	Denmark,Denmark	Genome-fragment	37.39	1-14815	-1	No	No	Yes
28726	uvig_109314	Metagenome	44320	38011	Siphoviridae	GCA_003461165,GCA_003462205,13414_6#76	Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruminococcus_D/Ruminococcus_D bicirculans,Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruminococcus_D/Ruminococcus_D bicirculans,Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruminococcus_D/Ruminococcus_D bicirculans	ERR525863,ERR525813	Europe,Europe	Denmark,Denmark	High-quality	100.0	1-35067	35068-38011	Yes	No	Yes
28749	uvig_109358	Metagenome	14	12030	Siphoviridae	21673_4#40,20287_6#77	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea longicatena,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea longicatena	-1	-1	-1	Genome-fragment	34.57	1-12030	-1	No	No	No
28751	uvig_109363	Metagenome	3591	10811	Siphoviridae	GCA_003471505,GCA_003468555,GCF_000156635,GCF_001025155	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum	ERR525863	Europe	Denmark	Genome-fragment	27.53	1-10811	-1	No	No	No
28766	uvig_109436	Metagenome	947	10358	Myoviridae	GCA_003481825,GCA_003477935	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA9502/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA9502/NA	-1	-1	-1	Genome-fragment	19.42	1-8755	8756-10358	Yes	No	No
28776	uvig_109477	Metagenome	30621	49780	Siphoviridae	GCA_003465005	Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis	ERR525915	Europe	Denmark	High-quality	100.0	1-49780	-1	No	No	Yes
28783	uvig_109491	Metagenome	75	48582	Myoviridae	GCA_003481825,GCA_003467265,GCA_003471975,GCA_003471045,GCA_003434675,GCA_003470405,GCA_003471015,GCA_003481175,GCA_003481985,GCA_003434235,GCA_003481455,GCA_003603115,GCA_003477935,GCA_003481245,GCA_003481205,GCA_003474935,GCF_000154245,GCA_003479845	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA9502/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Roseburia/Roseburia inulinivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Roseburia/Roseburia intestinalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/Coprococcus eutactus_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea longicatena_B,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA9502/UBA9502,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus_A/Coprococcus_A catus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/Coprococcus eutactus_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA9502/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Lachnospira/Lachnospira eligens,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/GCF_000154245.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/GCA_000434655.1	ERR525915	Europe	Denmark	High-quality	100.0	1-48582	-1	No	No	No
28834	uvig_109734	Metagenome	5495	39916	Siphoviridae	GCA_003459125,GCA_003470265,GCF_000169475	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B gnavus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B gnavus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B gnavus	ERR525718	Europe	Denmark	High-quality	100.0	1-39916	-1	No	No	No
28867	uvig_109865	Metagenome	592	26790	Siphoviridae	GCA_003468385,GCA_003469145,18048_1#77,GCA_003464325,GCA_003472265,GCA_003436185,GCF_000154085,18048_2#77	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	ERR525833,ERR525834	Europe,Europe	Denmark,Denmark	Genome-fragment	70.5	1-26790	-1	No	No	No
28939	uvig_110161	Metagenome	1235	31171	Siphoviridae	GCF_000156635,GCA_003473105,18048_2#93,GCA_003464325,GCF_001025155,18048_1#93,GCA_003436025,GCA_003436955,GCA_003467905,GCF_000154085	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	ERR525969,ERR525968	Europe,Europe	Denmark,Denmark	Genome-fragment	77.65	1-31171	-1	No	No	No
28952	uvig_110193	Metagenome	51	34782	Siphoviridae	GCA_003472575,18048_1#77,GCA_003436185,GCA_003472545,GCA_003467905,18048_2#77	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	ERR525866,ERR688554	Europe,Europe	Denmark,Austria	Genome-fragment	69.73	8058-34782	1-8057	Yes	No	No
28968	uvig_110250	Metagenome	6698	13562	Siphoviridae	GCA_003473925	Firmicutes/Clostridia/Oscillospirales/DTU089/GCA-900066995/GCA_900066995.1	ERR479138,ERR1913019,SRR4305238,ERR1913018,ERR505092,ERR1913020,ERR526044,ERR414391,ERR479139,ERR636389,ERR414393,ERR1913030,ERR1913017	Europe,Europe,Europe,Europe,Oceania,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe	France,Germany,Finland,Germany,Australia,Germany,Denmark,Spain,France,Sweden,Spain,Germany,Germany	Genome-fragment	37.45	1-13562	-1	No	No	Yes
29024	uvig_110410	Metagenome	1339	22445	Herelleviridae	GCA_003464465,GCA_003467205,GCA_003462805	Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus,Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus,Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus	ERR1018301,ERR526007	Asia,Europe	China,Denmark	Genome-fragment	20.87	1-22445	-1	No	No	No
29045	uvig_110528	Metagenome	704	39688	Siphoviridae	21673_4#45,21673_4#4,GCF_000147455,20298_3#11,GCF_000159275,21673_4#26,18048_1#48,20287_6#8,21673_4#39,20298_3#6,18048_2#48,21673_4#51,14672_4#3	Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis	ERR525980,ERR525965	Europe,Europe	Denmark,Denmark	High-quality	100.0	1-39688	-1	No	25-bp-DTR	No
29095	uvig_110676	Metagenome	10462	33012	Siphoviridae	13470_2#84,8080_1#73,12718_7#38,GCA_003434055,GCA_003433925,GCF_000155435	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M bolteae,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M sp1	ERR526028,ERR414445,ERR526029,SRR4408231,ERR1578631	Europe,Europe,Europe,Europe,Asia	Denmark,Spain,Denmark,Russia,China	Genome-fragment	80.33	1-33012	-1	No	No	Yes
29096	uvig_110681	Metagenome	10509	21683	Siphoviridae	GCA_003435475,GCA_003467635	Firmicutes/Bacilli/Erysipelotrichales/Erysipelatoclostridiaceae/Erysipelatoclostridium/Erysipelatoclostridium ramosum,Firmicutes/Bacilli/Erysipelotrichales/Erysipelatoclostridiaceae/Erysipelatoclostridium/Erysipelatoclostridium ramosum	ERR526028	Europe	Denmark	Genome-fragment	48.74	1-21683	-1	No	No	No
29136	uvig_110807	Metagenome	30639	10988	Siphoviridae	GCF_000156635,GCA_003468265,GCF_001025155,GCA_003437995,GCA_003467905	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum	ERR525872	Europe	Denmark	Genome-fragment	27.49	1-10988	-1	No	No	Yes
29138	uvig_110822	Metagenome	30641	40642	Siphoviridae	GCF_000163075	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Klebsiella/Klebsiella variicola	ERR525837	Europe	Denmark	High-quality	100.0	1-40642	-1	No	No	Yes
29143	uvig_110832	Metagenome	1659	17076	Podoviridae	GCA_003467905,GCA_003473205,GCA_003472405	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum	ERR525839,ERR525837	Europe,Europe	Denmark,Denmark	High-quality	95.05	1-17076	-1	No	No	No
29196	uvig_110970	Metagenome	367	40588	Siphoviridae	GCA_003457975,GCF_000185665	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum	ERR526053,SRR5091505,SRR4305270,ERR526037,SRR4408065,ERR525710,ERR525714	Europe,Asia,Europe,Europe,Europe,Europe,Europe	Denmark,China,Russia,Denmark,Estonia,Denmark,Denmark	High-quality	95.48	3555-40588	1-3554	Yes	No	No
29278	uvig_111315	Metagenome	684	17625	Podoviridae	GCF_000191845,GCF_000185625	Actinobacteriota/Coriobacteriia/Coriobacteriales/Eggerthellaceae/Eggerthella/Eggerthella lenta,Actinobacteriota/Coriobacteriia/Coriobacteriales/Eggerthellaceae/Eggerthella/Eggerthella lenta	ERR525742	Europe	Denmark	High-quality	91.65	1-17625	-1	No	No	No
29307	uvig_111433	Metagenome	702	41973	Siphoviridae	GCA_003470175	Firmicutes/Bacilli/Erysipelotrichales/Erysipelatoclostridiaceae/Erysipelatoclostridium/Erysipelatoclostridium ramosum	ERR525709	Europe	Denmark	High-quality	92.99	1-41973	-1	No	No	No
29310	uvig_111444	Metagenome	9399	33952	Siphoviridae	GCA_003478565	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_A/GCA_900066745.1	ERR911989,ERR912134,SRR2857886,ERR912052,SRR5127520,SRR5275476,ERR525709,SRR2857885,ERR636398,ERR414369	Europe,Europe,North America,Europe,Europe,North America,Europe,North America,Europe,Europe	United Kingdom,United Kingdom,United States,United Kingdom,Netherlands,United States,Denmark,United States,Sweden,Spain	Genome-fragment	68.6	1-27422	27423-33952	Yes	No	Yes
29390	uvig_111671	Metagenome	30869	36402	Siphoviridae	18048_1#38,20287_6#8,GCF_000148065,15841_8#81	Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis,Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis	ERR525736	Europe	Denmark	High-quality	96.98	1-36402	-1	No	No	Yes
29471	uvig_111955	Metagenome	287	10459	Siphoviridae	GCA_003457975,GCA_003468265,GCA_003458335,GCA_003437995,GCA_003467905	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum	ERR525829,SRR4305396	Europe,Europe	Denmark,Russia	Genome-fragment	27.76	1-10459	-1	No	No	No
29476	uvig_111984	Metagenome	18795	46294	Myoviridae	GCF_000158395,GCF_000164195,GCF_000179115	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli,Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli,Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli	ERR525712,SRR4408118,ERR525711	Europe,Europe,Europe	Denmark,Estonia,Denmark	High-quality	100.0	1-46294	-1	No	No	Yes
29518	uvig_112105	Metagenome	1668	18295	Podoviridae	GCA_003457975,GCA_003467905,GCA_003458335,GCF_000261205	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum	ERR525880	Europe	Denmark	High-quality	100.0	1-18295	-1	No	422-bp-ITR	No
29553	uvig_112279	Metagenome	17370	15635	Podoviridae	GCA_003437175,GCA_003437435	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium bifidum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	ERR526057	Europe	Denmark	Genome-fragment	-1.0	1-15635	-1	No	No	No
29634	uvig_112594	Metagenome	2960	30583	Siphoviridae	20287_6#8	Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus/Enterococcus faecalis	ERR525959	Europe	Denmark	Genome-fragment	81.47	1-30583	-1	No	No	No
29654	uvig_112639	Metagenome	19175	28740	Siphoviridae	GCF_000189595,GCF_000466485,14207_7#38,GCA_003468225,13470_2#83,8080_1#85,GCF_000233515	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/Clostridium_Q symbiosum,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/Clostridium_Q symbiosum,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/Clostridium_Q symbiosum,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/Clostridium_Q symbiosum,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/Clostridium_Q symbiosum,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/Clostridium_Q symbiosum,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/Clostridium_Q symbiosum	ERR688543,ERR525836	Europe,Europe	Austria,Denmark	Genome-fragment	65.86	1-28740	-1	No	No	Yes
29741	uvig_112992	Metagenome	115	94004	Myoviridae	GCF_000164195,GCF_000179095,GCF_000164275,GCF_000158415,GCF_000164335	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli,Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli,Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli,Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli,Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli	SRR4305054,ERR526085	Europe,Europe	Finland,Denmark	High-quality	90.55	1-94004	-1	No	No	No
29745	uvig_112998	Metagenome	19125	10548	Podoviridae	12718_7#61	Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis	ERR209367,ERR321376,ERR209363,ERR209364,ERR321373,ERR526087,ERR209366,ERR526085,ERR321374,ERR1953523,ERR912065,ERR209365,ERR321375,ERR321372,ERR526086	Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe	Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,United Kingdom,United Kingdom,Denmark,Denmark,Denmark,Denmark	Genome-fragment	-1.0	1-10548	-1	No	No	No
29782	uvig_113130	Metagenome	10010	25718	Siphoviridae	GCA_003472575,18048_1#77,GCA_003460425,GCA_003436185,GCA_003472545,18048_2#77	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	ERR526021,ERR526020	Europe,Europe	Denmark,Denmark	Genome-fragment	67.97	1-25718	-1	No	No	Yes
